iid,id,gender,idg,condtn,wave,round,position,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
142,1,0,1,2,7,16,9,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7
143,2,0,3,2,7,16,10,33,1,2,6,2,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7
144,3,0,5,2,7,16,13,23,10,2,5,2,1,5,2,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5,16,16,16,18,18,16,20,15.56,15.56,17.78,15.56,15.56,7,8,8,9,9
145,4,0,7,2,7,16,14,24,10,2,9,7,2,7,1,2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,11.36,18.18,22.73,18.18,11.36,18.18,22.22,13.33,17.78,20,8.89,17.78,5,5,7,9,7
146,5,0,9,2,7,16,4,36,6,2,1,7,4,7,1,2,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,5,18.18,18.18,18.18,18.18,13.64,13.64,20,13.33,15.56,20,13.33,17.78,8,8,8,8,8
147,6,0,11,2,7,16,3,26,8,4,3,3,5,5,1,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,18,18,20,18,16,10,25,12.5,12.5,25,12.5,12.5,8,7,8,9,7
148,7,0,13,2,7,16,2,27,8,4,7,4,5,4,1,7,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,5,15.09,16.98,16.98,18.87,18.87,13.21,23.81,16.67,14.29,23.81,9.52,11.9,8,9,9,9,8
149,8,0,15,2,7,16,1,28,13,2,3,3,1,5,2,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,4,8.51,19.15,19.15,19.15,19.15,14.89,28.57,8.57,20,20,14.29,8.57,8,8,8,8,8
150,9,0,17,2,7,16,8,31,7,2,3,3,4,5,2,2,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,5,12,20,20,20,14,14,25,15,15,15,15,15,7,9,8,9,8
151,10,0,19,2,7,16,6,28,13,2,1,2,3,3,1,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3,14.55,16.36,18.18,18.18,16.36,16.36,23.81,14.29,16.67,19.05,14.29,11.9,9,10,10,10,8
152,11,0,21,2,7,16,12,27,13,4,2,3,1,4,3,2,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,5,14,20,20,14,18,14,24.32,13.51,13.51,24.32,8.11,16.22,7,9,8,10,8
153,12,0,23,2,7,16,11,28,7,4,1,1,2,6,3,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6,9.76,19.51,19.51,14.63,19.51,17.07,23.53,17.65,14.71,14.71,14.71,14.71,7,7,6,7,6
154,13,0,25,2,7,16,15,27,8,2,8,3,6,4,1,7,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,15.38,17.31,17.31,17.31,17.31,15.38,16.67,16.67,16.67,16.67,16.67,16.67,8,9,9,9,9
155,14,0,27,2,7,16,5,27,8,2,5,1,2,5,1,9,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,15.09,18.87,18.87,16.98,16.98,13.21,21.95,14.63,12.2,21.95,9.76,19.51,7,10,6,8,9
156,15,0,29,2,7,16,7,30,8,1,1,1,2,6,3,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,14,18,16,18,18,16,18.87,15.09,15.09,18.87,15.09,16.98,8,10,10,9,10
157,16,0,31,2,7,16,16,28,8,4,5,3,1,6,1,7,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4,14.29,16.33,16.33,18.37,18.37,16.33,23.26,16.28,13.95,16.28,13.95,16.28,7,8,9,8,9
158,1,1,2,2,7,16,8.642857143,23,10,2,3,4,4,6,2,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7,19.05,19.05,19.05,19.05,9.52,14.29,15.22,19.57,19.57,19.57,8.7,17.39,7,9,7,9,6
159,2,1,4,2,7,16,7.333333333,28,10,2,7,2,1,6,2,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,15.91,20.45,20.45,20.45,11.36,11.36,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7
160,3,1,6,2,7,16,9.307692308,29,8,1,3,4,2,5,2,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,16,18,18,18,14,16,14.29,20.41,16.33,16.33,18.37,14.29,8,8,9,8,9
161,4,1,8,2,7,16,8.642857143,22,10,2,6,2,2,4,2,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,16.67,18.75,18.75,18.75,18.75,8.33,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,7
162,5,1,10,2,7,16,8.571428571,27,10,4,1,1,2,6,2,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,15.22,15.22,19.57,17.39,13.04,19.57,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8
163,6,1,12,2,7,16,8.571428571,26,9,2,1,1,4,3,3,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,12,20,20,20,16,12,14.29,14.29,14.29,23.81,14.29,19.05,7,8,8,9,7
164,7,1,14,2,7,16,6.75,27,7,2,1,1,1,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,20.51,23.08,20.51,17.95,2.56,15.38,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,4
165,8,1,16,2,7,16,9.230769231,30,13,2,4,7,3,6,3,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,16.67,12.5,20.83,18.75,12.5,18.75,9.09,20.45,18.18,20.45,13.64,18.18,8,6,7,9,2
166,9,1,18,2,7,16,5,26,8,6,1,9,5,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,27.78,19.44,19.44,27.78,2.78,2.78,21.74,15.22,15.22,15.22,17.39,15.22,7,7,7,7,7
167,10,1,20,2,7,16,8.384615385,23,10,2,1,1,2,6,2,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,18.6,13.95,18.6,16.28,16.28,16.28,13.64,18.18,20.45,13.64,15.91,18.18,6,7,7,7,5
168,11,1,22,2,7,16,8.642857143,23,10,4,1,1,1,4,2,10,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5,11.11,17.78,17.78,17.78,17.78,17.78,16.67,16.67,16.67,16.67,16.67,16.67,5,5,5,5,5
169,12,1,24,2,7,16,9.153846154,28,10,2,2,3,2,6,2,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6,17.78,20,17.78,15.56,15.56,13.33,20,15.56,17.78,17.78,15.56,13.33,7,9,7,8,7
170,13,1,26,2,7,16,8.307692308,28,10,4,2,1,1,5,3,4,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,6,16.28,20.93,18.6,18.6,13.95,11.63,17.78,15.56,15.56,17.78,20,13.33,7,8,6,9,8
171,14,1,28,2,7,16,8.571428571,29,8,2,1,1,1,4,2,7,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8,19.57,10.87,19.57,19.57,19.57,10.87,15.22,15.22,19.57,19.57,19.57,10.87,10,10,10,10,10
172,15,1,30,2,7,16,9.5,27,8,2,5,7,1,3,1,7,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,5,17.78,17.78,22.22,20,15.56,6.67,17.39,17.39,19.57,17.39,17.39,10.87,5,6,9,8,9
173,16,1,32,2,7,16,8.642857143,22,2,2,5,7,1,4,1,2,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,18.37,18.37,20.41,20.41,16.33,6.12,14.58,18.75,18.75,20.83,16.67,10.42,7,9,9,9,9
174,1,0,1,1,8,10,1,29,8,4,1,1,4,5,3,7,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,17.07,17.07,14.63,19.51,12.2,19.51,9,10,8,8,6
175,2,0,3,1,8,10,10,23,13,6,5,8,2,3,1,7,8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,7,12.24,20.41,16.33,14.29,20.41,16.33,22.22,11.11,13.33,20,17.78,15.56,7,10,8,8,9
176,3,0,5,1,8,10,7,28,8,4,10,1,2,6,3,7,7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,7,13.04,21.74,19.57,17.39,15.22,13.04,18.75,18.75,16.67,18.75,12.5,14.58,6,9,7,8,6
177,4,0,7,1,8,10,4,22,13,2,8,3,2,5,2,7,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,6,15.09,16.98,16.98,16.98,18.87,15.09,25,15,15,17.5,12.5,15,9,9,8,9,9
178,5,0,9,1,8,10,8,35,3,4,5,5,2,4,2,4,3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,5,15.22,17.39,17.39,17.39,15.22,17.39,22.73,11.36,11.36,18.18,18.18,18.18,9,9,7,8,7
179,6,0,11,1,8,10,9,30,6,3,5,1,1,6,3,2,5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,2,19.15,21.28,17.02,17.02,12.77,12.77,22.73,13.64,18.18,22.73,11.36,11.36,8,10,6,8,10
180,7,0,13,1,8,10,2,24,8,4,2,2,6,4,2,7,7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,6,15.38,17.31,17.31,19.23,13.46,17.31,18.6,18.6,11.63,23.26,11.63,16.28,9,9,10,9,9
181,8,0,15,1,8,10,5,22,4,1,7,8,1,5,5,2,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,4,15.38,19.23,19.23,17.31,17.31,11.54,18.87,11.32,16.98,18.87,16.98,16.98,9,9,9,9,9
182,9,0,17,1,8,10,6,22,4,1,7,5,1,4,3,4,5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,6,16.07,17.86,17.86,17.86,17.86,12.5,19.23,15.38,15.38,17.31,15.38,17.31,8,8,8,8,10
183,10,0,19,1,8,10,3,24,11,2,1,1,1,7,3,6,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,5,20,22.5,17.5,22.5,10,7.5,23.68,21.05,13.16,23.68,15.79,2.63,9,7,9,9,7
184,1,1,2,1,8,10,5.222222222,34,8,2,1,1,2,4,2,7,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5
185,2,1,4,1,8,10,5.222222222,25,2,4,3,4,1,7,4,6,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,6,16.98,15.09,16.98,16.98,18.87,15.09,16.36,18.18,14.55,18.18,18.18,14.55,10,10,7,8,8
186,3,1,6,1,8,10,6.5,24,5,4,4,3,1,7,3,2,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7,19.44,19.44,22.22,16.67,11.11,11.11,15.79,13.16,21.05,18.42,21.05,10.53,4,8,4,7,6
188,5,1,10,1,8,10,5.222222222,21,5,2,1,1,2,3,1,2,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6,15.56,11.11,22.22,15.56,20,15.56,14.29,14.29,19.05,19.05,19.05,14.29,7,5,7,10,10
189,6,1,12,1,8,10,5.222222222,27,1,6,6,1,1,6,2,9,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,5,16.98,16.98,16.98,16.98,16.98,15.09,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9
190,7,1,14,1,8,10,5.75,25,13,2,1,1,2,7,3,9,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,15.56,20,20,20,13.33,11.11,12.77,19.15,19.15,19.15,14.89,14.89,7,7,7,7,7
191,8,1,16,1,8,10,5.444444444,28,8,2,6,1,5,4,2,7,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4,20.45,20.45,20.45,18.18,18.18,2.27,9.09,20.45,18.18,15.91,20.45,15.91,7,7,6,7,8
192,9,1,18,1,8,10,5.222222222,24,8,2,2,7,1,6,2,7,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4,19.57,19.57,15.22,17.39,15.22,13.04,14,18,14,20,18,16,7,10,9,9,10
193,10,1,20,1,8,10,5.222222222,25,1,4,2,2,1,6,2,1,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4,20.93,16.28,23.26,16.28,11.63,11.63,26.32,13.16,13.16,26.32,13.16,7.89,7,9,5,10,7
194,1,0,1,2,9,20,2,24,3,2,9,9,3,3,2,3,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7,16,16,20,16,18,14,20,12,16,20,14,18,9,10,8,10,10
195,2,0,3,2,9,20,6,27,10,2,3,9,1,2,1,2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,15.38,19.23,19.23,19.23,13.46,13.46,22.73,15.91,18.18,18.18,11.36,13.64,9,8,10,10,8
196,3,0,5,2,9,20,5,25,7,4,1,6,1,1,1,2,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,17.65,17.65,17.65,15.69,15.69,15.69,18.75,18.75,16.67,16.67,14.58,14.58,9,9,9,9,9
197,4,0,7,2,9,20,3,24,13,6,2,1,1,4,3,7,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,14,18,20,18,16,14,23.81,14.29,19.05,16.67,14.29,11.9,7,8,9,9,7
198,5,0,9,2,9,20,14,23,13,4,8,5,2,2,3,7,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,6,15.38,19.23,17.31,19.23,9.62,19.23,25.64,17.95,12.82,15.38,15.38,12.82,7,9,7,9,7
199,6,0,11,2,9,20,19,30,7,2,2,1,4,5,3,2,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4,17.5,17.5,20,12.5,20,12.5,31.25,15.63,9.38,18.75,9.38,15.63,9,7,7,9,9
200,7,0,13,2,9,20,18,25,8,2,1,1,1,7,2,9,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5,13.21,18.87,18.87,16.98,16.98,15.09,17.02,14.89,14.89,19.15,17.02,17.02,8,10,8,8,8
201,8,0,15,2,9,20,9,25,8,2,8,8,1,4,2,7,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,15.38,17.31,17.31,17.31,17.31,15.38,25.71,17.14,14.29,22.86,8.57,11.43,7,8,9,9,8
202,9,0,17,2,9,20,12,22,2,2,8,5,2,6,2,2,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,3,15.38,19.23,19.23,19.23,15.38,11.54,21.43,16.67,9.52,21.43,14.29,16.67,7,10,9,10,8
203,10,0,19,2,9,20,11,22,2,2,4,10,6,6,2,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,16,20,18,20,18,8,23.68,18.42,10.53,18.42,13.16,15.79,9,8,9,10,7
204,11,0,21,2,9,20,17,26,8,2,8,6,3,5,1,7,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4,19.61,15.69,17.65,15.69,17.65,13.73,31.25,9.38,9.38,31.25,3.13,15.63,9,5,9,10,10
205,12,0,23,2,9,20,13,23,10,2,5,5,1,7,1,2,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5,15.38,17.31,19.23,19.23,11.54,17.31,21.43,11.9,11.9,19.05,19.05,16.67,7,8,9,10,5
206,13,0,25,2,9,20,16,31,8,1,2,2,1,5,1,9,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,6,14.58,16.67,20.83,18.75,16.67,12.5,18,16,18,20,16,12,8,8,8,8,8
207,14,0,27,2,9,20,4,23,10,2,9,5,1,3,1,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,17.31,13.46,17.31,19.23,19.23,13.46,18.37,16.33,16.33,18.37,16.33,14.29,8,8,10,8,9
208,15,0,29,2,9,20,15,25,10,1,2,1,2,4,3,7,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,5,11.54,13.46,19.23,19.23,19.23,17.31,23.26,16.28,13.95,16.28,13.95,16.28,9,10,10,10,10
209,16,0,31,2,9,20,20,28,13,1,7,3,3,6,2,7,3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,7,13.04,21.74,17.39,17.39,15.22,15.22,20.93,13.95,13.95,18.6,13.95,18.6,7,9,8,7,8
210,17,0,33,2,9,20,1,29,10,2,10,4,2,6,3,2,9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,5,20,15.56,20,15.56,11.11,17.78,25,22.22,13.89,13.89,2.78,22.22,8,8,6,9,9
211,18,0,35,2,9,20,7,28,13,2,9,1,2,4,1,9,9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,5,16.36,16.36,18.18,18.18,16.36,14.55,16,16,18,20,14,16,7,9,9,9,9
212,19,0,37,2,9,20,10,27,8,3,3,6,1,5,2,7,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,14.29,18.37,18.37,16.33,18.37,14.29,22.5,15,15,22.5,12.5,12.5,7,9,7,8,9
213,20,0,39,2,9,20,8,25,13,3,9,10,2,4,2,7,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7,15.52,17.24,17.24,17.24,17.24,15.52,18.18,18.18,16.36,18.18,14.55,14.55,8,10,9,9,9
214,1,1,2,2,9,20,10.625,23,10,2,6,8,1,6,2,2,9,3,10,8,6,7,7,4,7,3,1,9,6,4,6,7,1,6,17.02,21.28,17.02,21.28,14.89,8.51,14.58,20.83,16.67,18.75,16.67,12.5,8,10,10,9,8
215,2,1,4,2,9,20,10,26,8,4,3,1,1,4,1,7,8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,7,14.89,19.15,21.28,19.15,14.89,10.64,11.63,23.26,16.28,20.93,11.63,16.28,7,8,9,9,9
216,3,1,6,2,9,20,10.14285714,27,8,2,7,1,2,5,3,7,2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6,7.5,17.5,20,22.5,12.5,20,19.57,17.39,15.22,17.39,17.39,13.04,5,10,9,9,10
217,4,1,8,2,9,20,10.58823529,26,10,2,8,1,5,4,2,2,1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,3,21.28,17.02,21.28,12.77,6.38,21.28,12.24,20.41,20.41,16.33,16.33,14.29,7,10,7,10,10
218,5,1,10,2,9,20,10.07142857,24,10,2,9,5,1,4,2,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3,20.51,5.13,23.08,12.82,17.95,20.51,17.39,19.57,15.22,19.57,15.22,13.04,7,6,3,10,10
219,6,1,12,2,9,20,10.27272727,26,8,2,1,1,1,3,2,7,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,7,16.28,16.28,18.6,16.28,16.28,16.28,20,12.5,15,17.5,17.5,17.5,7,7,6,9,6
220,7,1,14,2,9,20,10.05882353,25,13,6,1,1,1,5,2,6,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,10,16.67,16.67,16.67,16.67,14.81,18.52,15.38,15.38,15.38,17.31,17.31,19.23,10,10,10,10,10
221,8,1,16,2,9,20,9.5,27,8,4,6,1,2,6,3,7,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,6,15.56,17.78,17.78,17.78,17.78,13.33,15.69,19.61,19.61,15.69,17.65,11.76,7,9,7,9,9
222,9,1,18,2,9,20,10.0625,27,2,2,8,3,2,6,3,2,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,3,9.52,19.05,23.81,19.05,4.76,23.81,16.67,21.43,7.14,21.43,14.29,19.05,4,9,7,9,4
223,10,1,20,2,9,20,11.21428571,28,7,2,6,6,2,4,2,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7,17.39,17.39,19.57,19.57,10.87,15.22,27.59,6.9,13.79,20.69,24.14,6.9,7,8,7,9,6
224,11,1,22,2,9,20,10.92857143,32,3,2,1,3,6,7,4,15,6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,5,17.24,17.24,17.24,17.24,13.79,17.24,21.74,19.57,15.22,21.74,4.35,17.39,8,10,8,8,8
225,12,1,24,2,9,20,10.5,28,8,3,4,9,1,7,2,7,10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4,14.71,14.71,14.71,14.71,20.59,20.59,19.51,14.63,19.51,19.51,12.2,14.63,5,9,7,6,7
226,13,1,26,2,9,20,10.58823529,23,8,2,1,3,2,3,1,6,10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,3,25.64,17.95,15.38,20.51,10.26,10.26,19.05,16.67,19.05,11.9,19.05,14.29,10,10,10,10,10
227,14,1,28,2,9,20,10.05555556,26,8,2,7,7,2,6,3,7,7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,5,20,16,18,16,16,14,15.69,15.69,17.65,15.69,17.65,17.65,7,10,8,10,10
228,15,1,30,2,9,20,10.9375,24,10,4,1,4,3,7,3,2,3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,7,13.51,18.92,21.62,13.51,13.51,18.92,15.38,10.26,20.51,20.51,15.38,17.95,5,8,4,7,8
229,16,1,32,2,9,20,9.588235294,28,10,2,7,1,1,6,3,7,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3,21.43,16.67,21.43,16.67,11.9,11.9,15.22,19.57,15.22,17.39,21.74,10.87,8,7,5,10,10
230,17,1,34,2,9,20,10.61111111,42,13,2,5,1,2,7,3,7,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5,23.81,23.81,23.81,23.81,2.38,2.38,16.67,16.67,16.67,16.67,16.67,16.67,6,6,6,6,6
231,18,1,36,2,9,20,10.5625,30,13,3,1,1,1,6,3,9,5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,5,18.6,20.93,23.26,23.26,2.33,11.63,18.18,11.36,15.91,18.18,20.45,15.91,8,8,8,9,3
232,19,1,38,2,9,20,10.25,31,13,2,4,7,2,5,4,9,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,4,17.78,17.78,17.78,17.78,13.33,15.56,19.15,17.02,17.02,17.02,14.89,14.89,8,8,8,8,6
233,20,1,40,2,9,20,9.75,29,13,4,1,1,1,3,2,7,10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7,14,20,18,16,14,18,14,20,14,18,16,18,7,8,8,7,8
234,1,0,1,1,10,9,8,22,3,6,1,5,3,7,3,2,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,5,20,20,20,10,10,20,75,1,1,3,10,10,7,7,8,8,10
235,2,0,3,1,10,9,1,23,9,2,3,1,1,4,3,2,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5,15,15,20,20,20,10,25,10,10,25,10,20,6,9,9,8,9
236,3,0,5,1,10,9,2,24,10,4,3,3,2,7,1,2,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,7,15,20,15,20,15,15,30,10,10,30,10,10,7,9,10,8,8
237,4,0,7,1,10,9,3,34,7,2,10,1,3,7,4,6,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,4,10,20,20,20,20,10,30,5,15,30,10,10,8,10,7,8,8
238,5,0,9,1,10,9,7,27,15,2,3,5,1,2,1,6,8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7,6,5,15,20,20,15,15,15,50,10,10,25,0,5,10,9,10,9,8
239,6,0,11,1,10,9,6,34,10,2,6,6,2,6,3,7,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,7,10,25,20,20,5,20,20,20,15,20,10,15,7,9,7,9,4
240,7,0,13,1,10,9,5,26,8,4,1,1,1,6,3,6,10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2,10,30,30,10,10,10,40,5,10,25,10,10,3,8,5,3,6
241,8,0,15,1,10,9,9,29,8,4,1,1,2,4,2,7,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,2,90,2,2,2,2,2,90,5,2,3,0,5,8,10,8,8,8
242,9,0,17,1,10,9,4,26,3,3,3,3,3,7,3,2,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,6,20,20,25,20,5,10,30,10,20,25,5,10,7,9,7,8,4
243,1,1,2,1,10,9,5.4,27,16,2,2,3,2,6,2,2,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,6,20,20,20,25,5,10,20,25,15,20,10,10,7,9,8,9,5
244,2,1,4,1,10,9,5.25,28,8,2,8,9,2,5,3,7,5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3,1,5,20,20,20,10,10,20,20,20,10,20,20,10,7,10,7,10,10
245,3,1,6,1,10,9,4.666666667,32,7,2,1,6,4,5,2,1,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,2,18,10,30,10,10,22,25,11,11,18,20,15,5,7,6,8,7
247,5,1,10,1,10,9,4.857142857,25,10,4,1,1,1,6,4,2,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,6,20,30,10,15,0,25,30,12,20,23,5,10,5,10,2,8,4
248,6,1,12,1,10,9,5,27,8,6,1,1,1,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,25,15,20,20,15,5,20,15,15,25,20,5,5,6,8,8,8
249,7,1,14,1,10,9,5.428571429,33,8,6,2,7,2,3,1,7,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5,22,22,15,15,5,21,15,15,25,10,25,10,7,9,7,10,7
250,8,1,16,1,10,9,5.25,25,6,6,1,1,4,2,1,2,7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6,5,7,20,20,20,20,10,10,20,20,20,20,10,10,10,9,9,10,10
251,9,1,18,1,10,9,4.857142857,33,7,6,2,2,6,4,1,10,7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2,3,5,19,19,19,19,19,5,13,20,30,15,15,7,8,10,9,10,9
252,1,0,1,2,11,21,18,28,13,3,1,1,1,6,2,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,10,0,25,25,25,25,0,20,5,20,20,20,15,9,9,9,9,10
253,2,0,3,2,11,21,4,33,3,4,1,1,2,6,6,2,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,7,25,30,10,10,5,20,40,20,5,20,5,20,8,10,9,8,7
254,3,0,5,2,11,21,12,22,7,2,8,3,2,6,2,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,6,25,7,25,25,8,10,30,15,10,25,10,10,8,7,8,10,8
255,4,0,7,2,11,21,13,26,10,4,3,1,1,7,3,4,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,6,16.67,16.67,16.67,16.67,16.67,16.67,50,10,10,10,10,10,6,8,6,7,6
