iid,gender,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,like_o,prob_o,met_o,dec,attr,sinc,intel,fun,amb,like,prob,met
147,0,5,11,168,0,0.38,1,23,4,11.11,17.78,17.78,17.78,17.78,17.78,0,4,7,8,7,5,5,6,2,0,4,8,8,4,4,4,6,0
147,0,15,12,169,1,0.37,0,28,2,17.78,20,17.78,15.56,15.56,13.33,1,10,8,8,9,8,9,9,2,1,8,7,8,7,7,7,6,0
147,0,14,13,170,0,0.43,1,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,7,7,7,6,6,6,6,2,0,4,7,8,4,6,5,5,0
147,0,3,14,171,0,0.54,0,29,2,19.57,10.87,19.57,19.57,19.57,10.87,0,5,6,7,9,7,9,8,2,0,4,7,9,4,6,5,5,0
147,0,4,16,173,0,0.03,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,0,5,7,5,6,6,4,4,2,0,6,8,8,8,4,6,6,0
148,0,10,1,158,0,0.11,0,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,8,8,7,7,8,5,2,0,4,8,8,2,6,1,1,0
148,0,11,2,159,0,0.72,0,28,2,15.91,20.45,20.45,20.45,11.36,11.36,0,7,6,6,5,5,6,4,2,0,3,8,8,2,7,2,1,0
148,0,16,3,160,0,-0.16,0,29,1,16,18,18,18,14,16,1,7,8,8,8,8,7,7,2,0,7,5,7,8,8,5,1,1
148,0,12,4,161,0,-0.19,0,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,6,6,8,5,7,5,4,2,0,5,8,8,5,5,4,1,0
148,0,5,5,162,0,0.11,1,27,4,15.22,15.22,19.57,17.39,13.04,19.57,1,6,6,7,7,6,6,5,2,0,6,8,8,4,9,8,5,0
148,0,8,6,163,0,0.58,0,26,2,12,20,20,20,16,12,0,8,8,8,7,6,7,4,2,1,7,9,9,8,8,8,5,0
148,0,7,8,165,0,0.8,0,30,2,16.67,12.5,20.83,18.75,12.5,18.75,1,8,8,9,6,9,8,4,2,0,6,7,6,1,5,1,1,0
148,0,1,9,166,0,0.09,0,26,6,27.78,19.44,19.44,27.78,2.78,2.78,1,8,8,8,8,8,8,2,1,0,7,8,7,5,5,7,2,1
148,0,9,10,167,0,0.14,0,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,6,5,6,5,4,5,4,2,0,3,8,8,5,8,6,1,0
148,0,4,11,168,0,0.31,1,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,7,8,8,6,6,7,6,2,0,2,8,8,4,2,5,1,0
148,0,13,13,170,0,0.74,1,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,6,7,5,8,6,5,2,0,3,8,8,4,8,4,1,0
148,0,2,14,171,0,0.42,0,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,7,7,7,6,8,8,6,2,0,4,8,8,7,8,9,3,0
148,0,6,15,172,0,-0.36,0,27,2,17.78,17.78,22.22,20,15.56,6.67,1,7,4,6,9,8,6,3,1,0,7,8,8,10,10,9,5,1
148,0,3,16,173,0,-0.34,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,0,5,8,5,7,6,5,4,2,0,7,9,9,5,8,7,2,0
149,0,9,1,158,0,0.19,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,9,9,8,7,8,5,2,0,6,7,7,4,7,5,6,0
149,0,10,2,159,0,0.65,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,1,8,9,7,7,7,7,6,2,0,4,7,8,4,6,4,8,0
149,0,15,3,160,1,-0.03,0,29,1,16,18,18,18,14,16,1,6,9,9,6,8,5,5,2,1,9,7,8,8,8,8,6,0
149,0,11,4,161,0,-0.11,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,7,6,7,5,8,7,5,2,0,8,6,8,8,6,7,3,0
149,0,4,5,162,0,0.72,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,1,8,6,6,7,7,6,4,2,0,4,8,7,4,8,6,8,0
149,0,7,6,163,0,0.47,1,26,2,12,20,20,20,16,12,1,8,8,8,7,7,8,3,2,0,5,6,6,4,4,5,7,0
149,0,8,10,167,0,0.26,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,6,6,6,5,4,7,5,2,0,4,6,7,7,5,5,7,0
149,0,3,11,168,0,0.13,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,0,5,6,6,6,6,6,5,2,0,4,7,8,4,7,4,7,0
149,0,13,12,169,0,0.45,1,28,2,17.78,20,17.78,15.56,15.56,13.33,0,9,8,9,8,8,9,8,2,1,8,7,8,7,7,7,7,0
149,0,12,13,170,0,0.32,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,7,7,7,6,6,6,5,2,0,4,8,7,4,8,4,8,0
149,0,1,14,171,1,0.52,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,8,7,8,6,9,9,8,2,1,6,8,8,6,7,7,6,0
149,0,2,16,173,1,0.15,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,8,8,8,8,7,8,6,2,1,5,8,8,7,4,6,5,0
150,0,16,1,158,0,0.31,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,10,8,9,7,7,9,5,2,0,5,5,8,6,9,5,4,0
150,0,6,3,160,0,0.11,0,29,1,16,18,18,18,14,16,1,7,10,9,8,8,7,7,2,0,9,7,7,7,7,7,1,0
150,0,2,4,161,0,0.2,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,8,8,10,8,6,6,3,2,0,8,5,8,8,8,7,2,0
150,0,11,5,162,0,0.46,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,0,6,9,8,5,6,5,5,2,0,6,6,7,6,6,7,4,0
150,0,14,6,163,0,0.35,1,26,2,12,20,20,20,16,12,1,9,9,9,8,8,8,5,2,0,7,7,8,8,6,7,4,0
150,0,13,8,165,1,0.1,1,30,2,16.67,12.5,20.83,18.75,12.5,18.75,1,8,10,9,8,8,8,7,2,1,9,8,8,7,8,7,4,0
150,0,7,9,166,0,0.47,0,26,6,27.78,19.44,19.44,27.78,2.78,2.78,0,5,7,9,8,9,7,7,2,0,6,5,6,5,8,5,4,0
150,0,15,10,167,1,0.39,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,7,5,6,7,5,6,5,2,1,7,7,8,8,8,7,5,0
150,0,10,11,168,0,0.4,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,8,7,7,7,7,7,7,2,0,7,8,8,8,8,8,6,0
150,0,4,12,169,0,0.3,1,28,2,17.78,20,17.78,15.56,15.56,13.33,0,7,8,9,7,9,8,7,2,1,9,9,9,9,9,9,5,0
150,0,3,13,170,0,0.15,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,7,7,7,6,6,5,2,0,5,6,9,6,9,8,5,0
150,0,8,14,171,0,0.46,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,7,9,9,7,8,7,5,2,0,6,7,9,6,9,7,4,0
150,0,12,15,172,0,0.27,1,27,2,17.78,17.78,22.22,20,15.56,6.67,0,4,6,8,4,6,3,9,2,0,6,7,8,7,8,7,4,0
150,0,9,16,173,0,0.39,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,7,7,7,7,7,6,4,2,0,6,8,8,8,8,8,5,0
151,0,14,1,158,0,0.24,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,10,8,8,9,7,9,4,2,0,4,5,5,1,3,2,3,0
151,0,15,2,159,0,0.6,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,1,8,8,7,7,7,7,4,2,0,3,7,7,4,6,6,4,0
151,0,16,4,161,0,-0.35,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,1,10,8,8,9,8,8,4,2,0,9,7,8,8,7,9,8,0
151,0,9,5,162,1,0.45,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,1,8,7,7,7,6,9,6,2,1,9,8,7,7,6,8,8,0
151,0,12,6,163,0,0.65,1,26,2,12,20,20,20,16,12,1,8,9,8,7,6,8,3,2,0,7,5,7,8,7,7.5,6,0
151,0,11,8,165,0,0.47,1,30,2,16.67,12.5,20.83,18.75,12.5,18.75,0,10,9,8,10,7,6,3,2,0,8,5,5,4,6,4,4,0
151,0,13,10,167,0,0.19,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,8,8,5,4,3,7,4,2,0,6,3,6,5,4,3,3,0
151,0,8,11,168,0,0.36,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,9,8,7,7,8,8,8,2,0,6,3,7,4,5,4,5,0
151,0,2,12,169,0,0.47,1,28,2,17.78,20,17.78,15.56,15.56,13.33,1,9,9,9,9,8,9,8,2,0,7,8,7,7,7,7,7,0
151,0,1,13,170,0,0.67,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,8,7,7,8,7,7,6,2,0,3,8,8,3,7,4,6,0
151,0,6,14,171,0,0.33,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,9,9,8,8,7,8,7,2,0,5,7,6,5,7,5,6,0
151,0,10,15,172,0,0,1,27,2,17.78,17.78,22.22,20,15.56,6.67,1,8,7,8,6,8,6,4,2,0,7,8,7,6,7,7,7,0
151,0,7,16,173,1,0.09,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,9,8,7,8,7,8,6,2,1,8,7,8,9,6,9,9,0
152,0,4,1,158,0,0.51,0,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,9,8,7,7,8,4,2,0,6,7,7,6,8,6,6,0
152,0,10,3,160,0,-0.01,0,29,1,16,18,18,18,14,16,0,7,9,10,6,9,5,5,2,0,6,8,7,7,7,6,5,0
152,0,6,4,161,0,-0.32,0,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,7,10,9,6,5,6,5,2,1,8,8,8,8,9,8,7,0
152,0,1,8,165,1,0.62,0,30,2,16.67,12.5,20.83,18.75,12.5,18.75,1,8,9,10,5,9,7,4,2,1,8,8,7,8,8,9,6,0
152,0,14,11,168,0,0.22,1,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,7,7,7,7,7,7,7,2,0,4,7,7,6,7,6,7,0
152,0,8,12,169,0,0.07,0,28,2,17.78,20,17.78,15.56,15.56,13.33,0,10,9,8,7,8,8,8,2,1,8,9,9,8,8,8,7,0
152,0,7,13,170,0,0.63,1,28,4,16.28,20.93,18.6,18.6,13.95,11.63,0,5,7,6,5,6,4,3,2,0,4,6,7,6,8,6,5,0
152,0,13,16,173,0,-0.15,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,0,5,5,5,5,5,5,3,2,0,5,8,8,6,7,7,7,0
153,0,9,3,160,0,0.3,0,29,1,16,18,18,18,14,16,0,7,9,8,6,7,4,4,2,0,5,6,6,6,6,5,5,0
153,0,14,5,162,0,0.3,1,27,4,15.22,15.22,19.57,17.39,13.04,19.57,0,5,7,6,3,7,4,3,2,1,5,5,7,6,7,5,5,0
153,0,1,6,163,1,0.49,0,26,2,12,20,20,20,16,12,1,8,10,8,8,8,8,5,2,1,8,8,8,8,6,8,7,0
153,0,11,14,171,1,0.78,0,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,6,8,8,6,7,6,7,2,1,6,6,7,7,7,5,5,0
154,0,7,1,158,0,-0.26,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,9,7,8,7,8,4,2,0,5,8,10,5,8,5,5,0
154,0,8,2,159,0,0.46,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,1,7,8,7,7,8,7,6,2,0,6,8,9,8,9,7,5,0
154,0,13,3,160,0,0.57,0,29,1,16,18,18,18,14,16,1,8,8,8,7,8,7,5,2,0,9,9,9,9,9,8,5,1
154,0,9,4,161,1,0.51,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,1,9,9,8,9,7,8,8,2,1,10,8,9,9,8,8,5,0
154,0,2,5,162,0,-0.01,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,0,7,6,7,6,7,4,2,2,0,5,8,8,7,7,5,3,0
154,0,5,6,163,1,0.39,1,26,2,12,20,20,20,16,12,1,8,10,8,8,7,7,5,2,1,9,9,8,9,8,8,3,0
154,0,4,8,165,0,0.46,1,30,2,16.67,12.5,20.83,18.75,12.5,18.75,0,10,8,8,8,10,5,2,2,0,7,9,7,5,5,5,3,0
154,0,6,10,167,0,0.71,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,5,7,7,6,6,6,5,2,0,8,8,8,8,8,8,3,0
154,0,1,11,168,0,0.48,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,8,8,8,8,8,9,9,2,0,5,9,7,5,7,5,5,0
154,0,11,12,169,1,0.6,1,28,2,17.78,20,17.78,15.56,15.56,13.33,1,10,9,9,9,9,10,9,2,1,9,9,9,9,8,8,6,0
154,0,10,13,170,0,0.25,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,6,7,5,7,6,5,2,0,6,10,10,5,9,6,5,0
154,0,15,14,171,1,0.53,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,9,7,8,8,10,8,9,2,1,8,9,9,8,8,8,5,0
154,0,3,15,172,1,0.28,1,27,2,17.78,17.78,22.22,20,15.56,6.67,1,7,8,8,5,6,6,5,1,1,9,10,10,10,10,8,3,1
154,0,16,16,173,1,0.54,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,6,7,6,7,6,7,4,2,1,9,9,10,9,9,8,5,0
155,0,13,1,158,0,0.24,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,10,9,9,8,7,9,6,2,0,2,6,7,2,7,2,5,0
155,0,14,2,159,0,0.59,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,1,7,9,8,7,5,7,4,2,0,1,4,6,3,6,1,3,0
155,0,15,4,161,1,-0.18,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,1,7,8,8,10,7,7,6,2,1,8,7,7,8,7,7,5,0
155,0,8,5,162,0,0.25,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,0,6,5,3,4,7,4,3,2,0,2,4,6,4,6,3,3,0
155,0,11,6,163,0,0.54,1,26,2,12,20,20,20,16,12,0,8,6,6,6,6,7,4,2,0,6,7,6,6,5,6,6,0
155,0,10,8,165,0,0.77,1,30,2,16.67,12.5,20.83,18.75,12.5,18.75,0,9,9,8,6,5,6,5,2,0,7,6,5,6,4,5,5,0
155,0,12,10,167,0,0.13,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,6,6,5,4,4,6,4,2,0,5,5,6,6,6,4,4,0
155,0,7,11,168,0,0.25,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,7,7,7,7,7,7,7,2,0,3,6,4,6,6,4,4,0
155,0,1,12,169,0,0.23,1,28,2,17.78,20,17.78,15.56,15.56,13.33,0,9,8,8,8,8,8,9,2,1,8,8,8,7,8,8,5,0
155,0,16,13,170,0,0.85,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,7,7,6,6,6,6,2,0,2,8,8,3,8,8,5,0
155,0,5,14,171,0,0.52,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,10,8,8,8,9,8,4,2,0,4,7,7,4,8,5,7,0
155,0,9,15,172,0,-0.03,1,27,2,17.78,17.78,22.22,20,15.56,6.67,0,5,6,6,4,5,5,5,2,0,5,8,8,6,7,6,6,0
155,0,6,16,173,0,-0.13,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,6,7,7,8,7,6,5,2,0,3,8,8,4,8,5,7,0
156,0,15,1,158,0,0.49,0,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,8,8,8,7,8,5,2,0,4,7,10,3,10,3,3,0
156,0,16,2,159,0,0.4,0,28,2,15.91,20.45,20.45,20.45,11.36,11.36,0,6,7,7,5,5,5,3,2,0,3,10,10,6,10,3,3,0
156,0,5,3,160,1,-0.03,1,29,1,16,18,18,18,14,16,1,8,10,8,9,9,8,9,1,1,7,10,10,9,10,8,10,1
156,0,1,4,161,0,-0.16,0,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,7,9,10,8,8,5,3,2,1,8,9,10,7,9,8,7,0
156,0,10,5,162,0,0.45,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,1,5,7,7,5,9,6,4,2,0,7,6,10,3,8,4,1,0
156,0,13,6,163,1,0.21,0,26,2,12,20,20,20,16,12,1,8,9,9,8,8,8,6,2,1,6,9,10,7,10,7,6,0
156,0,4,7,164,0,0.08,0,27,2,20.51,23.08,20.51,17.95,2.56,15.38,0,8,8,10,7,9,7,5,2,0,7,9,10,6,10,6,6,0
156,0,12,8,165,0,0.65,0,30,2,16.67,12.5,20.83,18.75,12.5,18.75,0,7,8,7,7,8,6,6,2,0,8,5,10,7,8,5,5,0
156,0,14,10,167,0,-0.05,0,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,7,6,6,5,6,6,4,2,0,6,9,10,6,9,6,5,0
156,0,9,11,168,0,-0.01,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,0,7,8,8,7,7,6,8,2,0,6,9,10,9,10,7,7,0
156,0,3,12,169,0,-0.05,0,28,2,17.78,20,17.78,15.56,15.56,13.33,0,8,8,10,8,10,8,8,2,1,7,9,10,8,9,9,9,0
156,0,2,13,170,0,0.75,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,8,8,7,8,6,5,2,0,4,8,10,3,10,3,2,0
156,0,7,14,171,0,0.19,0,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,6,8,9,9,10,6,5,2,0,5,8,10,2,9,2,2,0
156,0,11,15,172,1,-0.08,0,27,2,17.78,17.78,22.22,20,15.56,6.67,1,6,8,7,7,8,7,6,2,1,5,9,10,8,10,8,8,0
156,0,8,16,173,1,-0.15,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,7,7,7,7,7,6,5,2,1,6,9,10,9,9,8,7,0
157,0,8,1,158,0,-0.14,0,23,2,19.05,19.05,19.05,19.05,9.52,14.29,1,9,8,8,7,6,7,4,2,0,2,3,3,2,3,1,3,0
157,0,14,3,160,0,0.42,0,29,1,16,18,18,18,14,16,1,10,8,8,9,9,8,7,1,0,7,6,7,10,9,7,8,1
157,0,10,4,161,0,0.42,0,22,2,16.67,18.75,18.75,18.75,18.75,8.33,0,8,8,8,9,7,6,5,2,1,7,7,6,7,6,6,6,0
157,0,3,5,162,0,0.18,1,27,4,15.22,15.22,19.57,17.39,13.04,19.57,0,5,5,6,6,7,5,3,2,0,3,5,7,2,5,1,4,0
157,0,6,6,163,0,0.15,0,26,2,12,20,20,20,16,12,0,7,6,6,6,7,5,3,2,0,5,7,6,5,5,3,5,0
157,0,5,8,165,0,-0.09,0,30,2,16.67,12.5,20.83,18.75,12.5,18.75,1,9,7,8,6,8,7,4,2,0,6,7,7,4,5,4,5,0
157,0,7,10,167,0,0.6,0,23,2,18.6,13.95,18.6,16.28,16.28,16.28,1,6,7,6,6,5,6,4,2,0,4,5,5,6,3,3,5,0
157,0,2,11,168,0,0.29,1,23,4,11.11,17.78,17.78,17.78,17.78,17.78,1,6,8,8,8,8,9,9,2,0,2,8,8,7,6,2,6,0
157,0,12,12,169,1,0.61,0,28,2,17.78,20,17.78,15.56,15.56,13.33,1,10,8,8,9,9,9,8,2,1,8,7,7,8,7,7,6,0
157,0,11,13,170,0,-0.12,1,28,4,16.28,20.93,18.6,18.6,13.95,11.63,1,6,6,6,5,7,5,6,2,0,3,6,7,4,5,3,4,0
157,0,16,14,171,0,0.51,0,29,2,19.57,10.87,19.57,19.57,19.57,10.87,1,9,8,9,9,10,9,6,2,0,5,7,7,6,7,6,6,0
157,0,4,15,172,0,0.36,0,27,2,17.78,17.78,22.22,20,15.56,6.67,1,8,5,7,8,9,8,4,1,0,7,7,7,8,7,6,7,0
157,0,1,16,173,0,0.49,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,7,8,8,8,8,7,6,2,0,5,6,5,6,5,3,7,0
158,1,1,1,142,0,0.35,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,0,4,5,6,4,6,4,9,2,1,10,8,8,7,7,9,5,0
158,1,2,2,143,0,0.34,1,33,2,8.33,20.83,20.83,14.58,16.67,18.75,0,5,6,8,6,7,5,5,2,1,6,8,9,6,8,7,5,0
158,1,5,3,144,0,-0.4,1,23,2,16,16,16,18,18,16,0,4,6,7,4,7,4,7,2,1,9,9,9,7,7,9,7,0
158,1,6,4,145,0,0.42,1,24,2,11.36,18.18,22.73,18.18,11.36,18.18,0,7,10,10,7,9,8,5,2,1,9,8,9,7,7,9,6,0
158,1,11,6,147,0,-0.15,0,26,4,18,18,20,18,16,10,0,5,5,8,5,5,5,4,2,1,9,7,7,9,8,8,4,0
158,1,10,7,148,0,0.11,0,27,4,15.09,16.98,16.98,18.87,18.87,13.21,0,4,8,8,2,6,1,1,2,1,9,8,8,7,7,8,5,0
158,1,9,8,149,0,0.19,1,28,2,8.51,19.15,19.15,19.15,19.15,14.89,0,6,7,7,4,7,5,6,2,1,9,9,9,8,7,8,5,0
158,1,16,9,150,0,0.31,1,31,2,12,20,20,20,14,14,0,5,5,8,6,9,5,4,2,1,10,8,9,7,7,9,5,0
158,1,14,10,151,0,0.24,1,28,2,14.55,16.36,18.18,18.18,16.36,16.36,0,4,5,5,1,3,2,3,2,1,10,8,8,9,7,9,4,0
158,1,4,11,152,0,0.51,0,27,4,14,20,20,14,18,14,0,6,7,7,6,8,6,6,2,1,9,9,8,7,7,8,4,0
158,1,7,13,154,0,-0.26,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,0,5,8,10,5,8,5,5,2,1,9,9,7,8,7,8,4,0
158,1,13,14,155,0,0.24,1,27,2,15.09,18.87,18.87,16.98,16.98,13.21,0,2,6,7,2,7,2,5,2,1,10,9,9,8,7,9,6,0
158,1,15,15,156,0,0.49,0,30,1,14,18,16,18,18,16,0,4,7,10,3,10,3,3,2,1,9,8,8,8,7,8,5,0
158,1,8,16,157,0,-0.14,0,28,4,14.29,16.33,16.33,18.37,18.37,16.33,0,2,3,3,2,3,1,3,2,1,9,8,8,7,6,7,4,0
159,1,6,3,144,0,0.32,1,23,2,16,16,16,18,18,16,0,4,7,8,5,7,4,8,2,1,8,8,8,8,7,9,7,0
159,1,7,4,145,0,0.68,1,24,2,11.36,18.18,22.73,18.18,11.36,18.18,0,7,10,10,10,10,8,5,2,1,8,8,8,7,7,8,6,0
159,1,12,6,147,0,0.55,0,26,4,18,18,20,18,16,10,0,5,6,8,5,5,5,4,2,0,6,6,6,6,6,5,4,0
159,1,11,7,148,0,0.72,0,27,4,15.09,16.98,16.98,18.87,18.87,13.21,0,3,8,8,2,7,2,1,2,0,7,6,6,5,5,6,4,0
159,1,10,8,149,0,0.65,1,28,2,8.51,19.15,19.15,19.15,19.15,14.89,0,4,7,8,4,6,4,8,2,1,8,9,7,7,7,7,6,0
159,1,15,10,151,0,0.6,1,28,2,14.55,16.36,18.18,18.18,16.36,16.36,0,3,7,7,4,6,6,4,2,1,8,8,7,7,7,7,4,0
159,1,8,13,154,0,0.46,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,0,6,8,9,8,9,7,5,2,1,7,8,7,7,8,7,6,0
159,1,14,14,155,0,0.59,1,27,2,15.09,18.87,18.87,16.98,16.98,13.21,0,1,4,6,3,6,1,3,2,1,7,9,8,7,5,7,4,0
159,1,16,15,156,0,0.4,0,30,1,14,18,16,18,18,16,0,3,10,10,6,10,3,3,2,0,6,7,7,5,5,5,3,0
160,1,7,1,142,0,-0.15,0,24,2,14.29,14.29,21.43,21.43,19.05,9.52,1,8,8,8,8,10,8,7,2,0,6,9,8,7,9,6,7,0
160,1,8,2,143,0,0.01,0,33,2,8.33,20.83,20.83,14.58,16.67,18.75,0,5,5,7,8,7,5,5,2,0,4,9,7,5,8,4,5,0
160,1,11,3,144,0,0.64,0,23,2,16,16,16,18,18,16,0,7,8,8,8,8,7,7,2,0,6,8,9,9,9,7,6,0
160,1,12,4,145,0,-0.18,0,24,2,11.36,18.18,22.73,18.18,11.36,18.18,0,8,10,7,10,7,7,5,2,0,4,8,9,4,10,5,5,0
160,1,1,6,147,1,0.25,0,26,4,18,18,20,18,16,10,1,8,6,7,8,9,8,10,1,1,8,10,9,8,8,6,8,1
160,1,16,7,148,0,-0.16,0,27,4,15.09,16.98,16.98,18.87,18.87,13.21,0,7,5,7,8,8,5,1,1,1,7,8,8,8,8,7,7,0
160,1,15,8,149,1,-0.03,0,28,2,8.51,19.15,19.15,19.15,19.15,14.89,1,9,7,8,8,8,8,6,2,1,6,9,9,6,8,5,5,0
160,1,6,9,150,0,0.11,0,31,2,12,20,20,20,14,14,0,9,7,7,7,7,7,1,2,1,7,10,9,8,8,7,7,0
160,1,10,11,152,0,-0.01,0,27,4,14,20,20,14,18,14,0,6,8,7,7,7,6,5,2,0,7,9,10,6,9,5,5,0
160,1,9,12,153,0,0.3,0,28,4,9.76,19.51,19.51,14.63,19.51,17.07,0,5,6,6,6,6,5,5,2,0,7,9,8,6,7,4,4,0
160,1,13,13,154,0,0.57,0,27,2,15.38,17.31,17.31,17.31,17.31,15.38,0,9,9,9,9,9,8,5,1,1,8,8,8,7,8,7,5,0
160,1,5,15,156,1,-0.03,1,30,1,14,18,16,18,18,16,1,7,10,10,9,10,8,10,1,1,8,10,8,9,9,8,9,1
160,1,14,16,157,0,0.42,0,28,4,14.29,16.33,16.33,18.37,18.37,16.33,0,7,6,7,10,9,7,8,1,1,10,8,8,9,9,8,7,1
161,1,3,1,142,0,-0.01,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,1,10,10,9,8,8,9,8,2,0,8,7,8,7,6,7,6,0
161,1,4,2,143,0,-0.15,1,33,2,8.33,20.83,20.83,14.58,16.67,18.75,1,5,6,8,9,8,8,5,2,0,5,10,8,5,10,4,5,0
161,1,7,3,144,0,0.44,1,23,2,16,16,16,18,18,16,1,8,8,8,10,7,9,5,1,0,6,8,10,9,3,5,3,1
161,1,8,4,145,0,-0.29,1,24,2,11.36,18.18,22.73,18.18,11.36,18.18,1,10,9,9,9,8,9,1,1,0,6,8,10,7,5,4,2,1
161,1,13,6,147,0,0.17,0,26,4,18,18,20,18,16,10,1,7,6,7,6,6,6,6,2,0,7,8,9,10,6,4,3,0
161,1,12,7,148,0,-0.19,0,27,4,15.09,16.98,16.98,18.87,18.87,13.21,0,5,8,8,5,5,4,1,2,0,6,6,8,5,7,5,4,0
161,1,11,8,149,0,-0.11,1,28,2,8.51,19.15,19.15,19.15,19.15,14.89,0,8,6,8,8,6,7,3,2,0,7,6,7,5,8,7,5,0
161,1,2,9,150,0,0.2,1,31,2,12,20,20,20,14,14,0,8,5,8,8,8,7,2,2,0,8,8,10,8,6,6,3,0
161,1,16,10,151,0,-0.35,1,28,2,14.55,16.36,18.18,18.18,16.36,16.36,0,9,7,8,8,7,9,8,2,1,10,8,8,9,8,8,4,0
161,1,6,11,152,0,-0.32,0,27,4,14,20,20,14,18,14,1,8,8,8,8,9,8,7,2,0,7,10,9,6,5,6,5,0
161,1,9,13,154,1,0.51,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,1,10,8,9,9,8,8,5,2,1,9,9,8,9,7,8,8,0
161,1,15,14,155,1,-0.18,1,27,2,15.09,18.87,18.87,16.98,16.98,13.21,1,8,7,7,8,7,7,5,2,1,7,8,8,10,7,7,6,0
